;x12;x13;x14;x15;x22;x23;x32;x33;x34;y2;y3;y4
0;12.2;350.0;0.0;100.0;350.0;0.0;350.0;0.0;100.0;12.7;47.0;12.2
1;12.199967;75.00169;0.0;557.69643;75.00169;0.0;75.00169;0.0;557.69643;12.199969;46.984876;12.199967
2;12.199929;75.0;0.0;565.80785;75.0;0.0;75.0;0.0;565.80785;12.19993;46.973292;12.199929
3;12.199892;75.0;0.0;530.62009;75.0;0.0;75.0;0.0;530.62009;12.199893;46.961707;12.199892
4;12.199858;75.0;0.0;484.50339;75.0;0.0;75.0;0.0;484.50339;12.199859;46.950123;12.199858
5;12.199826;75.0;0.0;469.85723;75.0;0.0;75.0;0.0;469.85723;12.199827;46.938538;12.199826
6;12.19979;75.0;0.0;561.99168;75.0;0.0;75.0;0.0;561.99168;12.199791;46.926954;12.19979
7;12.19975;75.0;0.0;609.37216;75.0;0.0;75.0;0.0;609.37216;12.199751;46.91537;12.19975
8;12.199708;75.0;0.0;630.27869;75.0;0.0;75.0;0.0;630.27869;12.199709;46.903785;12.199708
9;12.199666;75.0;0.0;605.49271;75.0;0.0;75.0;0.0;605.49271;12.199667;46.892201;12.199666
10;12.199627;160.37482;0.0;557.80234;160.37482;0.0;160.37482;0.0;557.80234;12.199628;46.877422;12.199627
11;12.199592;200.96502;0.0;504.89157;200.96502;0.0;200.96502;0.0;504.89157;12.199593;46.848963;12.199592
12;12.199557;215.65933;0.0;523.67625;215.65933;0.0;215.65933;0.0;523.67625;12.199559;46.816601;12.199557
13;12.199565;360.62524;0.0;570.72479;360.62524;0.0;360.62524;0.0;570.72479;12.525715;46.77343;12.199565
14;12.199578;260.23282;0.0;602.77981;260.23282;0.0;260.23282;0.0;602.77981;12.498052;46.724219;12.199578
15;12.199592;279.26065;0.0;590.37006;279.26065;0.0;279.26065;0.0;590.37006;12.507104;46.682321;12.199592
16;12.199605;215.15724;0.0;602.94784;215.15724;0.0;215.15724;0.0;602.94784;12.496181;46.643332;12.199605
17;12.199599;299.49182;0.0;566.23049;299.49182;0.0;299.49182;0.0;566.23049;12.527588;46.604188;12.199599
18;12.199612;272.7137;0.0;572.01575;272.7137;0.0;272.7137;0.0;572.01575;12.524087;46.560327;12.199612
19;12.199626;311.58838;0.0;614.98731;311.58838;0.0;311.58838;0.0;614.98731;12.488892;46.515818;12.199626
20;12.199639;338.47919;0.0;655.63733;338.47919;0.0;338.47919;0.0;655.63733;12.454361;46.465283;12.199639
21;12.199653;348.47208;0.0;588.49092;348.47208;0.0;348.47208;0.0;588.49092;12.508993;46.412104;12.199653
22;12.199656;174.42367;0.0;548.86982;174.42367;0.0;174.42367;0.0;548.86982;12.200775;46.369887;12.199656
23;12.199621;75.033202;0.0;505.10339;75.033202;0.0;75.033202;0.0;505.10339;12.199622;46.353459;12.199621
24;12.199587;75.0;0.0;497.4272;75.0;0.0;75.0;0.0;497.4272;12.199588;46.341874;12.199587
25;12.199553;75.0;0.0;532.89869;75.0;0.0;75.0;0.0;532.89869;12.199554;46.33029;12.199553
26;12.199517;75.0;0.0;547.14039;75.0;0.0;75.0;0.0;547.14039;12.199518;46.318705;12.199517
27;12.199479;75.0;0.0;561.38268;75.0;0.0;75.0;0.0;561.38268;12.199481;46.307121;12.199479
28;12.199453;256.73575;0.0;530.76766;256.73575;0.0;256.73575;0.0;530.76766;12.555873;46.283615;12.199453
29;12.199467;355.95724;0.0;483.4412;355.95724;0.0;355.95724;0.0;483.4412;12.595987;46.235071;12.199467
30;12.19948;392.77467;0.0;462.91503;392.77467;0.0;392.77467;0.0;462.91503;12.614268;46.176781;12.19948
31;12.199494;254.96228;0.0;500.01185;254.96228;0.0;254.96228;0.0;500.01185;12.584502;46.125063;12.199494
32;12.199477;165.20742;0.0;547.71121;165.20742;0.0;165.20742;0.0;547.71121;12.199478;46.09372;12.199477
33;12.199439;131.87725;0.0;574.109;131.87725;0.0;131.87725;0.0;574.109;12.19944;46.071199;12.199439
34;12.1994;217.28263;0.0;554.93574;217.28263;0.0;217.28263;0.0;554.93574;12.199401;46.045371;12.1994
35;12.199412;273.90391;0.0;507.81924;273.90391;0.0;273.90391;0.0;507.81924;12.575502;46.006739;12.199412
36;12.199425;294.93453;0.0;556.82592;294.93453;0.0;294.93453;0.0;556.82592;12.535623;45.962542;12.199425
37;12.199439;227.40264;0.0;569.64656;227.40264;0.0;227.40264;0.0;569.64656;12.526225;45.921347;12.199439
38;12.199414;183.13646;0.0;615.23769;183.13646;0.0;183.13646;0.0;615.23769;12.199416;45.890187;12.199414
39;12.199371;166.69709;0.0;651.68669;166.69709;0.0;166.69709;0.0;651.68669;12.199373;45.863378;12.199371
40;12.199327;178.67155;0.0;645.48253;178.67155;0.0;178.67155;0.0;645.48253;12.199329;45.836963;12.199327
41;12.199285;187.72739;0.0;609.50081;187.72739;0.0;187.72739;0.0;609.50081;12.199286;45.808555;12.199285
42;12.199245;191.09591;0.0;569.07369;191.09591;0.0;191.09591;0.0;569.07369;12.199246;45.779256;12.199245
43;12.199207;78.532903;0.0;568.54087;78.532903;0.0;78.532903;0.0;568.54087;12.199208;45.756617;12.199207
44;12.199167;75.000022;0.0;608.39254;75.000022;0.0;75.000022;0.0;608.39254;12.199169;45.744987;12.199167
45;12.199125;75.0;0.0;651.98926;75.0;0.0;75.0;0.0;651.98926;12.199126;45.733403;12.199125
46;12.199083;75.0;0.0;612.93862;75.0;0.0;75.0;0.0;612.93862;12.199084;45.721818;12.199083
47;12.199043;75.0;0.0;577.18407;75.0;0.0;75.0;0.0;577.18407;12.199044;45.710234;12.199043
48;12.199005;75.0;0.0;531.29066;75.0;0.0;75.0;0.0;531.29066;12.199007;45.69865;12.199005
49;12.19897;191.52762;0.0;517.45047;191.52762;0.0;191.52762;0.0;517.45047;12.198971;45.683294;12.19897
50;12.198975;305.79049;0.0;548.38812;305.79049;0.0;305.79049;0.0;548.38812;12.544283;45.643429;12.198975
51;12.198989;347.86816;0.0;644.79095;347.86816;0.0;347.86816;0.0;644.79095;12.463814;45.592415;12.198989
52;12.199002;280.68707;0.0;664.93738;280.68707;0.0;280.68707;0.0;664.93738;12.445843;45.542845;12.199002
53;12.199016;234.64223;0.0;639.43375;234.64223;0.0;234.64223;0.0;639.43375;12.465954;45.503613;12.199016
54;12.199029;217.53332;0.0;591.73021;217.53332;0.0;217.53332;0.0;591.73021;12.505654;45.468908;12.199029
55;12.199003;150.68814;0.0;565.68518;150.68814;0.0;150.68814;0.0;565.68518;12.199004;45.439942;12.199003
56;12.198966;110.47289;0.0;558.21786;110.47289;0.0;110.47289;0.0;558.21786;12.198967;45.42027;12.198966
57;12.198926;75.000407;0.0;605.39738;75.000407;0.0;75.000407;0.0;605.39738;12.198928;45.407949;12.198926
58;12.198884;75.0;0.0;636.82197;75.0;0.0;75.0;0.0;636.82197;12.198886;45.396365;12.198884
